geo,commodity_groups,value,energy,mortgage_and_interest,food,gasoline,shelter,year,month
Canada,Specialty crops [A13],86.5,125.2,-0.3,110.9,126.4,114.8,2007,1
Canada,Specialty crops [A13],90.0,127.1,-0.3,112.6,131.3,114.9,2007,2
Canada,Specialty crops [A13],92.9,135.9,-0.4,112.2,147.6,115.4,2007,3
Canada,Specialty crops [A13],97.1,139.1,-0.3,112.2,151.4,116.2,2007,4
Canada,Specialty crops [A13],97.6,142.0,-0.3,112.5,159.7,116.0,2007,5
Canada,Specialty crops [A13],102.8,140.1,-0.3,112.6,153.1,116.8,2007,6
Canada,Specialty crops [A13],98.1,139.6,-0.2,112.3,152.9,117.0,2007,7
Canada,Specialty crops [A13],98.4,136.4,-0.2,111.8,145.4,117.6,2007,8
Canada,Specialty crops [A13],99.6,136.6,-0.2,110.9,146.5,117.8,2007,9
Canada,Specialty crops [A13],102.8,134.5,-0.1,110.7,141.7,118.7,2007,10
Canada,Specialty crops [A13],109.8,136.5,-0.1,111.3,147.4,118.8,2007,11
Canada,Specialty crops [A13],118.0,138.2,0.1,111.7,149.9,119.2,2007,12
Canada,Specialty crops [A13],128.5,139.0,0.1,112.4,152.8,119.2,2008,1
Canada,Specialty crops [A13],140.7,139.4,0.1,112.8,153.7,119.6,2008,2
Canada,Specialty crops [A13],151.3,143.2,0.1,112.6,159.3,120.1,2008,3
Canada,Specialty crops [A13],152.6,150.2,0.1,113.5,168.9,121.2,2008,4
Canada,Specialty crops [A13],159.0,158.4,0.1,114.6,183.7,121.6,2008,5
Canada,Specialty crops [A13],163.6,165.3,0.1,115.8,194.3,122.3,2008,6
Canada,Specialty crops [A13],166.2,169.1,0.1,116.5,196.7,123.3,2008,7
Canada,Specialty crops [A13],153.1,164.0,0.1,116.8,183.7,123.8,2008,8
Canada,Specialty crops [A13],152.0,161.5,0.2,117.1,185.3,123.1,2008,9
Canada,Specialty crops [A13],153.6,147.5,0.3,117.4,160.5,123.2,2008,10
Canada,Specialty crops [A13],151.1,130.7,0.3,119.5,126.2,123.4,2008,11
Canada,Specialty crops [A13],139.0,123.0,0.3,119.8,111.3,123.4,2008,12
Canada,Specialty crops [A13],130.4,123.8,0.4,120.6,116.9,123.1,2009,1
Canada,Specialty crops [A13],129.4,127.2,0.4,121.2,123.4,123.2,2009,2
Canada,Specialty crops [A13],129.5,127.1,0.3,121.5,125.9,122.6,2009,3
Canada,Specialty crops [A13],132.7,123.9,0.4,121.6,127.1,121.4,2009,4
Canada,Specialty crops [A13],132.2,129.4,0.2,121.9,137.6,121.4,2009,5
Canada,Specialty crops [A13],137.1,133.9,0.2,122.2,147.0,121.3,2009,6
Canada,Specialty crops [A13],138.9,129.6,0.2,122.3,141.0,120.8,2009,7
Canada,Specialty crops [A13],123.3,132.6,0.1,121.5,144.7,121.1,2009,8
Canada,Specialty crops [A13],121.7,131.3,0.1,120.4,142.6,120.9,2009,9
Canada,Specialty crops [A13],120.3,128.8,0.0,120.1,139.5,121.2,2009,10
Canada,Specialty crops [A13],124.6,132.4,-0.1,121.5,144.0,121.3,2009,11
Canada,Specialty crops [A13],126.8,130.3,0.0,121.8,139.8,121.3,2009,12
Canada,Specialty crops [A13],126.3,133.9,-0.1,122.3,144.8,121.8,2010,1
Canada,Specialty crops [A13],121.4,132.3,-0.2,122.7,142.3,121.8,2010,2
Canada,Specialty crops [A13],114.4,134.5,-0.2,123.1,147.6,121.7,2010,3
Canada,Specialty crops [A13],109.9,136.0,-0.2,122.8,147.8,122.4,2010,4
Canada,Specialty crops [A13],106.0,137.4,-0.3,122.9,147.1,123.0,2010,5
Canada,Specialty crops [A13],105.2,135.7,-0.2,123.0,142.8,123.3,2010,6
Canada,Specialty crops [A13],107.3,139.8,-0.3,123.7,147.8,124.3,2010,7
Canada,Specialty crops [A13],105.8,139.2,-0.3,123.5,147.4,124.0,2010,8
Canada,Specialty crops [A13],108.1,138.7,-0.3,122.9,147.0,123.9,2010,9
Canada,Specialty crops [A13],106.5,140.5,-0.3,122.7,151.8,124.6,2010,10
Canada,Specialty crops [A13],105.9,141.3,-0.5,123.3,154.4,124.4,2010,11
Canada,Specialty crops [A13],104.4,144.0,-0.4,123.9,158.0,124.6,2010,12
Canada,Specialty crops [A13],109.4,146.0,-0.4,124.9,163.6,124.5,2011,1
Canada,Specialty crops [A13],114.0,146.3,-0.5,125.3,164.6,124.5,2011,2
Canada,Specialty crops [A13],123.5,151.7,-0.6,127.2,175.5,124.6,2011,3
Canada,Specialty crops [A13],124.7,159.2,-0.7,126.9,186.8,125.2,2011,4
Canada,Specialty crops [A13],125.0,160.2,-0.6,127.7,190.5,125.2,2011,5
Canada,Specialty crops [A13],121.5,157.0,-0.7,128.3,183.5,125.4,2011,6
Canada,Specialty crops [A13],126.4,157.9,-0.7,129.0,182.5,125.9,2011,7
Canada,Specialty crops [A13],146.1,157.9,-0.6,128.9,181.0,126.2,2011,8
Canada,Specialty crops [A13],140.8,156.0,-0.7,128.2,180.4,125.7,2011,9
Canada,Specialty crops [A13],138.8,156.9,-0.7,128.0,179.4,126.5,2011,10
Canada,Specialty crops [A13],134.1,154.1,-0.7,129.2,175.2,126.3,2011,11
Canada,Specialty crops [A13],132.5,152.7,-0.6,129.3,170.0,126.8,2011,12
Canada,Specialty crops [A13],136.6,155.5,-0.7,130.2,174.7,127.1,2012,1
Canada,Specialty crops [A13],131.7,156.9,-0.7,130.4,179.2,126.9,2012,2
Canada,Specialty crops [A13],134.5,159.5,-0.8,130.0,187.0,126.6,2012,3
Canada,Specialty crops [A13],133.1,161.0,-0.8,130.1,192.9,126.6,2012,4
Canada,Specialty crops [A13],136.3,157.7,-0.9,130.9,186.1,126.7,2012,5
Canada,Specialty crops [A13],133.2,155.7,-0.8,130.9,180.2,127.0,2012,6
Canada,Specialty crops [A13],130.8,156.0,-0.8,131.7,180.1,127.2,2012,7
Canada,Specialty crops [A13],133.2,159.2,-0.9,131.7,184.9,127.4,2012,8
Canada,Specialty crops [A13],132.0,160.6,-0.9,130.3,188.8,127.2,2012,9
Canada,Specialty crops [A13],134.1,159.5,-1.0,130.5,186.6,127.6,2012,10
Canada,Specialty crops [A13],132.9,153.8,-1.0,131.4,175.9,127.5,2012,11
Canada,Specialty crops [A13],129.9,151.9,-1.0,131.2,171.7,127.5,2012,12
Canada,Specialty crops [A13],129.6,152.8,-1.0,131.6,171.6,127.8,2013,1
Canada,Specialty crops [A13],133.5,160.1,-1.1,132.9,186.1,127.9,2013,2
Canada,Specialty crops [A13],135.7,159.9,-1.1,132.4,186.5,128.0,2013,3
Canada,Specialty crops [A13],137.9,158.0,-1.1,132.1,181.3,128.2,2013,4
Canada,Specialty crops [A13],139.4,159.3,-1.1,132.6,183.3,128.3,2013,5
Canada,Specialty crops [A13],142.7,162.1,-1.2,132.5,188.5,128.5,2013,6
Canada,Specialty crops [A13],138.8,164.2,-1.2,132.7,191.0,128.8,2013,7
Canada,Specialty crops [A13],126.2,163.0,-1.2,133.0,189.0,128.8,2013,8
Canada,Specialty crops [A13],125.9,163.0,-1.2,131.9,188.2,129.0,2013,9
Canada,Specialty crops [A13],127.8,157.0,-1.2,131.7,178.6,129.2,2013,10
Canada,Specialty crops [A13],123.7,157.4,-1.2,132.8,176.6,129.8,2013,11
Canada,Specialty crops [A13],124.4,158.9,-1.2,132.5,179.7,129.9,2013,12
Canada,Specialty crops [A13],121.0,160.2,-1.1,133.0,179.5,130.5,2014,1
Canada,Specialty crops [A13],114.0,162.6,-1.2,134.3,183.7,130.7,2014,2
Canada,Specialty crops [A13],115.3,167.2,-1.2,134.4,189.2,131.4,2014,3
Canada,Specialty crops [A13],119.0,171.2,-1.2,134.6,193.2,132.4,2014,4
Canada,Specialty crops [A13],118.8,172.7,-1.2,135.7,194.8,132.6,2014,5
Canada,Specialty crops [A13],119.7,173.0,-1.3,136.4,198.7,132.2,2014,6
Canada,Specialty crops [A13],120.5,171.9,-1.3,136.5,195.0,132.6,2014,7
Canada,Specialty crops [A13],112.9,168.3,-1.3,135.9,188.8,132.4,2014,8
Canada,Specialty crops [A13],114.4,167.4,-1.4,135.5,187.2,132.5,2014,9
Canada,Specialty crops [A13],125.3,163.6,-1.3,135.4,179.7,132.8,2014,10
Canada,Specialty crops [A13],138.7,156.5,-1.3,136.9,166.2,132.8,2014,11
Canada,Specialty crops [A13],136.5,148.7,-1.3,137.4,149.9,133.0,2014,12
Canada,Specialty crops [A13],141.2,139.5,-1.3,139.1,131.3,133.1,2015,1
Canada,Specialty crops [A13],151.4,145.1,-1.3,139.5,143.7,133.1,2015,2
Canada,Specialty crops [A13],148.0,149.8,-1.3,139.5,152.8,133.3,2015,3
Canada,Specialty crops [A13],152.8,148.1,-1.3,139.4,152.6,133.1,2015,4
Canada,Specialty crops [A13],154.2,152.4,-1.4,140.8,161.0,133.2,2015,5
Canada,Specialty crops [A13],157.5,157.5,-1.4,141.0,170.6,133.5,2015,6
Canada,Specialty crops [A13],161.3,159.2,-1.5,140.9,171.3,133.8,2015,7
Canada,Specialty crops [A13],156.4,156.1,-1.4,140.8,165.1,133.9,2015,8
Canada,Specialty crops [A13],157.0,149.3,-1.4,140.3,152.1,133.9,2015,9
Canada,Specialty crops [A13],160.8,146.6,-1.5,140.9,149.0,134.3,2015,10
Canada,Specialty crops [A13],180.3,146.5,-1.4,141.6,148.6,134.4,2015,11
Canada,Specialty crops [A13],191.2,143.4,-1.4,142.5,142.7,134.5,2015,12
Canada,Specialty crops [A13],203.2,139.0,-1.4,144.6,134.1,134.6,2016,1
Canada,Specialty crops [A13],205.7,134.6,-1.4,145.0,124.9,134.7,2016,2
Canada,Specialty crops [A13],213.4,138.1,-1.5,144.5,132.0,134.8,2016,3
Canada,Specialty crops [A13],215.1,143.4,-1.5,143.8,143.7,134.9,2016,4
Canada,Specialty crops [A13],222.3,146.9,-1.6,143.3,149.6,135.1,2016,5
Canada,Specialty crops [A13],210.0,150.6,-1.6,142.8,156.1,135.6,2016,6
Canada,Specialty crops [A13],182.7,147.4,-1.5,143.2,147.4,136.0,2016,7
Canada,Specialty crops [A13],165.9,147.0,-1.6,142.3,146.1,136.2,2016,8
Canada,Specialty crops [A13],160.6,147.3,-1.6,140.4,147.3,136.2,2016,9
Canada,Specialty crops [A13],157.7,150.2,-1.6,139.9,152.7,136.9,2016,10
