REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2007-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,109.4,,,,1
2007-02,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,110.2,,,,1
2007-03,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,111.1,,,,1
2007-04,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,111.6,,,,1
2007-05,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,112.1,,,,1
2007-06,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,111.9,,,,1
2007-07,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,112,,,,1
2007-08,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,111.7,,,,1
2007-09,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,111.9,,,,1
2007-10,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,111.6,,,,1
2007-11,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,111.9,,,,1
2007-12,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,112,,,,1
2008-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,111.8,,,,1
2008-02,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,112.2,,,,1
2008-03,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,112.6,,,,1
2008-04,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,113.5,,,,1
2008-05,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,114.6,,,,1
2008-06,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,115.4,,,,1
2008-07,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,115.8,,,,1
2008-08,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,115.6,,,,1
2008-09,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,115.7,,,,1
2008-10,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,114.5,,,,1
