REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2007-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,125.2,,,,1
2007-02,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,127.1,,,,1
2007-03,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,135.9,,,,1
2007-04,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,139.1,,,,1
2007-05,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,142,,,,1
2007-06,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,140.1,,,,1
2007-07,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,139.6,,,,1
2007-08,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,136.4,,,,1
2007-09,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,136.6,,,,1
2007-10,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,134.5,,,,1
2007-11,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,136.5,,,,1
2007-12,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,138.2,,,,1
2008-01,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,139,,,,1
2008-02,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,139.4,,,,1
2008-03,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,143.2,,,,1
2008-04,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,150.2,,,,1
2008-05,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,158.4,,,,1
2008-06,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,165.3,,,,1
2008-07,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,169.1,,,,1
2008-08,Canada,2016A000011124,Energy,2002=100,17,units,0,v41691239,2.288,164,,,,1
