REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2007-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,110.9,,,,1
2007-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,112.6,,,,1
2007-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,112.2,,,,1
2007-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,112.2,,,,1
2007-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,112.5,,,,1
2007-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,112.6,,,,1
2007-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,112.3,,,,1
2007-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,111.8,,,,1
2007-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,110.9,,,,1
2007-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,110.7,,,,1
2007-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,111.3,,,,1
2007-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,111.7,,,,1
2008-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,112.4,,,,1
2008-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,112.8,,,,1
2008-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,112.6,,,,1
2008-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,113.5,,,,1
2008-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,114.6,,,,1
2008-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,115.8,,,,1
2008-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,116.5,,,,1
2008-08,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,116.8,,,,1
2008-09,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,117.1,,,,1
2008-10,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,117.4,,,,1
2008-11,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,119.5,,,,1
2008-12,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,119.8,,,,1
2009-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,120.6,,,,1
2009-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,121.2,,,,1
2009-03,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,121.5,,,,1
2009-04,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,121.6,,,,1
2009-05,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,121.9,,,,1
2009-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,122.2,,,,1
2009-07,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,122.3,,,,1
