REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2007-01,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,126.4,,,,1
2007-02,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,131.3,,,,1
2007-03,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,147.6,,,,1
2007-04,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,151.4,,,,1
2007-05,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,159.7,,,,1
2007-06,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,153.1,,,,1
2007-07,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,152.9,,,,1
2007-08,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,145.4,,,,1
2007-09,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,146.5,,,,1
2007-10,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,141.7,,,,1
2007-11,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,147.4,,,,1
2007-12,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,149.9,,,,1
2008-01,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,152.8,,,,1
2008-02,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,153.7,,,,1
2008-03,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,159.3,,,,1
2008-04,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,168.9,,,,1
2008-05,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,183.7,,,,1
2008-06,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,194.3,,,,1
2008-07,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,196.7,,,,1
2008-08,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,183.7,,,,1
2008-09,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,185.3,,,,1
2008-10,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,160.5,,,,1
2008-11,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,126.2,,,,1
2008-12,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,111.3,,,,1
2009-01,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,116.9,,,,1
2009-02,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,123.4,,,,1
2009-03,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,125.9,,,,1
2009-04,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,127.1,,,,1
2009-05,Canada,2016A000011124,Gasoline,2002=100,17,units,0,v41691136,2.184,137.6,,,,1
