REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2007-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,114.8,,,,1
2007-02,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,114.9,,,,1
2007-03,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,115.4,,,,1
2007-04,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,116.2,,,,1
2007-05,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,116,,,,1
2007-06,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,116.8,,,,1
2007-07,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,117,,,,1
2007-08,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,117.6,,,,1
2007-09,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,117.8,,,,1
2007-10,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,118.7,,,,1
2007-11,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,118.8,,,,1
2007-12,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,119.2,,,,1
2008-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,119.2,,,,1
2008-02,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,119.6,,,,1
2008-03,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,120.1,,,,1
2008-04,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,121.2,,,,1
2008-05,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,121.6,,,,1
2008-06,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,122.3,,,,1
2008-07,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,123.3,,,,1
2008-08,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,123.8,,,,1
2008-09,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,123.1,,,,1
2008-10,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,123.2,,,,1
2008-11,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,123.4,,,,1
2008-12,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,123.4,,,,1
2009-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,123.1,,,,1
